,file_name,image_data_grayscale,file_format,image_shape,label
0,COVID-1.png,"[[185  40   0 ...   0  24 131]
 [ 75  14   0 ...   0   8  42]
 [ 11   2   0 ...   1   3  12]
 ...
 [ 78  62  68 ...   3  13  27]
 [104  74  75 ...   1  23  83]
 [156  90  78 ...   1  45 167]]",PNG,"(299, 299)",COVID
1,COVID-10.png,"[[135 133 131 ...  24  21  19]
 [132 130 129 ...  32  28  24]
 [134 128 125 ...  43  37  32]
 ...
 [  2   2   3 ... 161 161 157]
 [  1   2   3 ... 162 164 159]
 [  3   2   3 ... 164 166 161]]",PNG,"(299, 299)",COVID
2,COVID-100.png,"[[ 62  10   0 ... 197 200 209]
 [ 35   6   0 ... 196 200 207]
 [ 31   5   0 ... 196 200 208]
 ...
 [255 163 116 ...   0   5  33]
 [255 169 123 ...   0   5  33]
 [255 179 133 ...   0   5  33]]",PNG,"(299, 299)",COVID
3,COVID-1000.png,"[[162 162 162 ...   4   4   5]
 [ 26  26  26 ...   3   3   3]
 [  0   0   0 ...   2   2   2]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",PNG,"(299, 299)",COVID
4,COVID-1001.png,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [ 94  95  95 ... 108 105 104]
 [ 92  93  93 ... 109 107 106]
 [ 91  92  92 ... 111 108 107]]",PNG,"(299, 299)",COVID
5,COVID-1002.png,"[[167 144 143 ... 183 183 192]
 [ 74  38  31 ... 115 119 138]
 [ 53  13   5 ...  97 102 126]
 ...
 [ 92  62  64 ... 191 192 200]
 [109  78  80 ... 197 197 204]
 [171 153 157 ... 223 222 223]]",PNG,"(299, 299)",COVID
6,COVID-1003.png,"[[ 70  11   0 ...   0  11  70]
 [ 70  11   0 ...   0  11  69]
 [ 74  13   2 ...  11  23  82]
 ...
 [ 81  20   9 ... 149 144 170]
 [ 81  20  10 ... 141 139 167]
 [ 78  17   6 ...  93  96 137]]",PNG,"(299, 299)",COVID
7,COVID-1004.png,"[[ 90  89  91 ...   5   5   5]
 [ 89  88  90 ...   4   4   4]
 [ 86  86  89 ...   3   3   3]
 ...
 [ 63  44  27 ... 116 110 107]
 [ 68  49  32 ... 125 120 117]
 [ 72  53  36 ... 132 127 124]]",PNG,"(299, 299)",COVID
8,COVID-1005.png,"[[ 67 114 123 ... 125 121 118]
 [ 53  94 103 ... 125 123 119]
 [ 41  70  77 ... 128 125 123]
 ...
 [ 67 115 125 ... 107 101  97]
 [ 67 115 124 ... 106 100  97]
 [ 56  96 103 ...  88  84  80]]",PNG,"(299, 299)",COVID
9,COVID-1006.png,"[[147 146 145 ...  45  48  52]
 [153 151 150 ...  44  47  51]
 [153 152 150 ...  41  45  47]
 ...
 [171 172 174 ... 142 137 129]
 [170 172 173 ... 140 135 128]
 [163 164 165 ... 132 127 121]]",PNG,"(299, 299)",COVID
